tahun,col,Tahun,Bulan,Jenis,Importir_Eksportir,Komoditas,HS_Code,Pelabuhan,Nilai_Barang,Penerimaan,Dokumen,Status,Aksi,Severity,Entitas,Indikasi,Risk,Evidence,Kasus,Modus,Potensi_Kerugian,Instansi,Putusan_Sumber
2011,AIH-944FC21EEEE5A66C,2011,0,"PNS Bea Cukai Meninggal Saat Tugas, Purbaya Sampaikan Ucapan Duka",,,,,,,https://www.cnbcindonesia.com/news/20260708125250-4-749124/pns-bea-cukai-meninggal-saat-tugas-purbaya-sampaikan-ucapan-duka,DRAFT_REVIEW_NEEDS_EVIDENCE,,LOW,,"Purbaya mengucapkan belasungkawa atas meninggalnya Pelaksana di KPPBC TMP B Pekanbaru, Aditya Waskita Jauhari.",,CNBC Indonesia,,,,,
2011,AIH-2E138CCD7EEC38E3,2011,0,Kejaksaan Tetapkan Pejabat Bea Cukai Tersangka Korupsi Tanah Jarang,,,,,,,https://www.cnbcindonesia.com/news/20260708133751-4-749136/kejaksaan-tetapkan-pejabat-bea-cukai-tersangka-korupsi-tanah-jarang,DRAFT_REVIEW_NEEDS_EVIDENCE,,LOW,,Tiga tersangka ditetapkan dalam kasus korupsi pertambangan oleh Kejaksaan Agung. Mereka terlibat manipulasi dokumen ekspor mineral terlarang.,,CNBC Indonesia,,,,,
2011,AIH-2E82E776075EF142,2011,0,"Penyelundupan 2,6 Ton Sabu Cair dari MV Ocean Porter di Kepri Berhasil Digagalkan",,,,,,,https://nasional.tempo.co/read/2118028/penyelundupan-26-ton-sabu-cair-dari-mv-ocean-porter-di-kepri-berhasil-digagalkan,DRAFT_REVIEW_NEEDS_EVIDENCE,,MEDIUM,,Bea Cukai bersama BNN RI dan Polda Kepulauan Riau akan terus melakukan pengembangan terhadap temuan tersebut,,Tempo,,,,,
2011,AIH-25F4695943F4BD15,2011,0,"Bea-Cukai Banten Musnahkan 41,2 Juta Rokok Ilegal dan 1.739 Liter MMEA",,,,,,,https://nasional.tempo.co/read/2118008/bea-cukai-banten-musnahkan-412-juta-rokok-ilegal-dan-1-739-liter-mmea,DRAFT_REVIEW_NEEDS_EVIDENCE,,LOW,,Barang ilegal yang dimusnahkan merupakan akumulasi hasil penindakan Bea Cukai Banten bersama Bea Cukai Merak dan Bea Cukai Tangerang.,,Tempo,,,,,
