tahun,col,Sektor,Komoditas_Sumber,Keterangan,Tahun,Bulan,Nilai_Ekonomi,Aksi
2024,BASELINE-FISCAL-SDA-2024,PNBP Sumber Daya Alam,Agregat SDA,Baseline agregat tahunan hasil SDA 2024; BASELINE_REVIEW_BPS_KEMENKEU_APBN_KITA_NOTA_KEUANGAN,2024,12,204900000000000,BASELINE_REVIEW
2024,AIH-3CBA9B269157E906,AI_HUNTER_SIGNAL,Tempo,"Ortu Tak Kerja, Calon Mahasiswa Unej Dapat UKT Rp 6 Juta Orang tua calon mahasiswa Universitas Jember tidak lagi bekerja setelah terkena PHK sejak Oktober 2024. Dapat UKT Kelompok Tinggi. https://nasional.tempo.co/read/2110336/ortu-tak-kerja-calon-mahasiswa-unej-dapat-ukt-rp-6-juta",2024,0,,
