tahun,Bln_Thn,Akun,Keterangan,Kredit_Rp,Status,Tgl,No_Bukti,Debet,Kredit,Saldo,Aksi,Modul,ID,Data,Dihapus_Pada
2026,6/2026,AI_HUNTER_DRAFT,"KPK: Bupati Langkat Terima Suap Rp800 Juta dari Total 1,1 M",Rp 800.000.000,DRAFT_REVIEW_NEEDS_EVIDENCE,2026-07-20,https://www.cnnindonesia.com/nasional/20260704070854-12-1376709/kpk-bupati-langkat-terima-suap-rp800-juta-dari-total-11-m,,,,AUDIT_VALIDATE_PROMOTE,korupsi,MR-AI-B0D4B35B62EFC919,"KPK ungkap Bupati Langkat, Syah Afandin, terima suap Rp800 juta dari Yaqub Abdhal. Kasus melibatkan proyek di Dinas Pendidikan dan Disperkim. CNN Indonesia",
2026,6/2026,AI_HUNTER_DRAFT,Flyover Latumenten Jakarta Barat Disebut Bisa Kurangi Macet 40 Persen,,DRAFT_REVIEW_NEEDS_EVIDENCE,2026-07-20,https://www.cnnindonesia.com/nasional/20260703204701-20-1376641/flyover-latumenten-jakarta-barat-disebut-bisa-kurangi-macet-40-persen,,,,AUDIT_VALIDATE_PROMOTE,prog_daerah,MR-AI-A37C36185F8E6A5E,"Anggota DPRD DKI, Hardiyanto Kenneth, menyatakan Flyover Latumenten akan kurangi kemacetan 40%. Proyek ini ditargetkan selesai Desember 2026. CNN Indonesia",
2026,6/2026,AI_HUNTER_DRAFT,Flyover Latumenten Jakarta Barat Disebut Bisa Kurangi Macet 40 Persen,,DRAFT_REVIEW_NEEDS_EVIDENCE,2026-07-20,https://www.cnnindonesia.com/nasional/20260703204701-20-1376641/flyover-latumenten-jakarta-barat-disebut-bisa-kurangi-macet-40-persen,,,,AUDIT_VALIDATE_PROMOTE,prog_legislatif,MR-AI-6BA9ABA42B3FDCDD,"Anggota DPRD DKI, Hardiyanto Kenneth, menyatakan Flyover Latumenten akan kurangi kemacetan 40%. Proyek ini ditargetkan selesai Desember 2026. CNN Indonesia",
2026,6/2026,AI_HUNTER_DRAFT,"Purbaya Ungkap Dampak MBG di Jateng, Ciptakan 193 Ribu Lowongan Kerja",,DRAFT_REVIEW_NEEDS_EVIDENCE,2026-07-20,https://www.cnbcindonesia.com/news/20260703172118-4-747928/purbaya-ungkap-dampak-mbg-di-jateng-ciptakan-193-ribu-lowongan-kerja,,,,AUDIT_VALIDATE_PROMOTE,akuntansi,MR-AI-9D80916949C609D4,"Menteri Keuangan Purbaya Yudhi Sadewa mengungkapkan program Makan Bergizi Gratis di Jateng telah menjangkau 9,16 juta penerima manfaat hingga 2026. CNBC Indonesia",
2026,6/2026,AI_HUNTER_DRAFT,"Purbaya Ungkap Dampak MBG di Jateng, Ciptakan 193 Ribu Lowongan Kerja",,DRAFT_REVIEW_NEEDS_EVIDENCE,2026-07-20,https://www.cnbcindonesia.com/news/20260703172118-4-747928/purbaya-ungkap-dampak-mbg-di-jateng-ciptakan-193-ribu-lowongan-kerja,,,,AUDIT_VALIDATE_PROMOTE,audit,MR-AI-1D9FF538C38126E8,"Menteri Keuangan Purbaya Yudhi Sadewa mengungkapkan program Makan Bergizi Gratis di Jateng telah menjangkau 9,16 juta penerima manfaat hingga 2026. CNBC Indonesia",
2026,6/2026,AI_HUNTER_DRAFT,"Purbaya Ungkap Dampak MBG di Jateng, Ciptakan 193 Ribu Lowongan Kerja",,DRAFT_REVIEW_NEEDS_EVIDENCE,2026-07-20,https://www.cnbcindonesia.com/news/20260703172118-4-747928/purbaya-ungkap-dampak-mbg-di-jateng-ciptakan-193-ribu-lowongan-kerja,,,,AUDIT_VALIDATE_PROMOTE,audittrail,MR-AI-4B95E7525ACD51B5,"Menteri Keuangan Purbaya Yudhi Sadewa mengungkapkan program Makan Bergizi Gratis di Jateng telah menjangkau 9,16 juta penerima manfaat hingga 2026. CNBC Indonesia",
2026,6/2026,AI_HUNTER_DRAFT,"Purbaya Ungkap Dampak MBG di Jateng, Ciptakan 193 Ribu Lowongan Kerja",,DRAFT_REVIEW_NEEDS_EVIDENCE,2026-07-20,https://www.cnbcindonesia.com/news/20260703172118-4-747928/purbaya-ungkap-dampak-mbg-di-jateng-ciptakan-193-ribu-lowongan-kerja,,,,AUDIT_VALIDATE_PROMOTE,bea_cukai,MR-AI-CCEF230C88DA2AEC,"Menteri Keuangan Purbaya Yudhi Sadewa mengungkapkan program Makan Bergizi Gratis di Jateng telah menjangkau 9,16 juta penerima manfaat hingga 2026. CNBC Indonesia",
2026,6/2026,AI_HUNTER_DRAFT,"Purbaya Ungkap Dampak MBG di Jateng, Ciptakan 193 Ribu Lowongan Kerja",,DRAFT_REVIEW_NEEDS_EVIDENCE,2026-07-20,https://www.cnbcindonesia.com/news/20260703172118-4-747928/purbaya-ungkap-dampak-mbg-di-jateng-ciptakan-193-ribu-lowongan-kerja,,,,AUDIT_VALIDATE_PROMOTE,bumn,MR-AI-E25E873DC85C2A53,"Menteri Keuangan Purbaya Yudhi Sadewa mengungkapkan program Makan Bergizi Gratis di Jateng telah menjangkau 9,16 juta penerima manfaat hingga 2026. CNBC Indonesia",
2026,6/2026,AI_HUNTER_DRAFT,"Purbaya Ungkap Dampak MBG di Jateng, Ciptakan 193 Ribu Lowongan Kerja",,DRAFT_REVIEW_NEEDS_EVIDENCE,2026-07-20,https://www.cnbcindonesia.com/news/20260703172118-4-747928/purbaya-ungkap-dampak-mbg-di-jateng-ciptakan-193-ribu-lowongan-kerja,,,,AUDIT_VALIDATE_PROMOTE,korupsi,MR-AI-0C3E297467A7D680,"Menteri Keuangan Purbaya Yudhi Sadewa mengungkapkan program Makan Bergizi Gratis di Jateng telah menjangkau 9,16 juta penerima manfaat hingga 2026. CNBC Indonesia",
2026,6/2026,AI_HUNTER_DRAFT,"Purbaya Ungkap Dampak MBG di Jateng, Ciptakan 193 Ribu Lowongan Kerja",,DRAFT_REVIEW_NEEDS_EVIDENCE,2026-07-20,https://www.cnbcindonesia.com/news/20260703172118-4-747928/purbaya-ungkap-dampak-mbg-di-jateng-ciptakan-193-ribu-lowongan-kerja,,,,AUDIT_VALIDATE_PROMOTE,pajak,MR-AI-05BF2F056A2F82D9,"Menteri Keuangan Purbaya Yudhi Sadewa mengungkapkan program Makan Bergizi Gratis di Jateng telah menjangkau 9,16 juta penerima manfaat hingga 2026. CNBC Indonesia",
