tahun,col,Module,Record,Jenis_Saran,Field,Usulan,Risk,Status,Alias,Canonical,Tipe,Confidence,Aksi
2011,HUNTER-B1A8032B696E0A83,korupsi,Apa itu Platinum yang Ditemukan di Mobil Bupati Langkat?,AI_HUNTER_RSS,source_candidate,"KPK menemukan 55 kg logam mulia jenis platinum yang diduga bernilai puluhan miliar di mobil milik Bupati Langkat, Syah Afandi. https://www.cnnindonesia.com/nasional/20260705115535-12-1377055/apa-itu-platinum-yang-ditemukan-di-mobil-bupati-langkat",LOW,DRAFT_REVIEW_NEEDS_EVIDENCE,MR-AI-7BFC6E5144B8CFAF,https://www.cnnindonesia.com/nasional/20260705115535-12-1377055/apa-itu-platinum-yang-ditemukan-di-mobil-bupati-langkat,HISTORICAL_BACKFILL_REQUIRED,63,AI_AUDIT_AND_MAP_TO_FINAL_MODULE
2011,HUNTER-D225960FF1FFC14E,korupsi,KPK Temukan 55 Kg Platinum di Mobil Bupati Langkat,AI_HUNTER_RSS,source_candidate,"KPK menemukan 55 kg platinum di mobil Bupati Langkat, Syah Afandin, saat OTT. Total nilai barang bukti diperkirakan mencapai Rp40 miliar. https://www.cnnindonesia.com/nasional/20260704141216-12-1376841/kpk-temukan-55-kg-platinum-di-mobil-bupati-langkat",LOW,DRAFT_REVIEW_NEEDS_EVIDENCE,MR-AI-B5CF07C8F7DAB138,https://www.cnnindonesia.com/nasional/20260704141216-12-1376841/kpk-temukan-55-kg-platinum-di-mobil-bupati-langkat,HISTORICAL_BACKFILL_REQUIRED,63,AI_AUDIT_AND_MAP_TO_FINAL_MODULE
2011,HUNTER-983AD837494F23A6,korupsi,"KPK: Bupati Langkat Tahu Hendak di-OTT, Ungkap Kode 'Situasi Memanas'",AI_HUNTER_RSS,source_candidate,"KPK menangkap Bupati Langkat, Syah Afandin, dalam OTT suap proyek. Ia dan pihak swasta ditetapkan sebagai tersangka setelah serah terima uang Rp100 juta. https://www.cnnindonesia.com/nasional/20260704131837-12-1376822/kpk-bupati-langkat-tahu-hendak-di-ott-ungkap-kode-situasi-memanas",MEDIUM,DRAFT_REVIEW_NEEDS_EVIDENCE,MR-AI-75CFAA4465830F38,https://www.cnnindonesia.com/nasional/20260704131837-12-1376822/kpk-bupati-langkat-tahu-hendak-di-ott-ungkap-kode-situasi-memanas,HISTORICAL_BACKFILL_REQUIRED,78,AI_AUDIT_AND_MAP_TO_FINAL_MODULE
