tahun,col,Nama_Kasus,Tahun,Era_Presiden,Sektor_K_L_Terkait,Status_Hukum,Aksi,Nama,Jabatan_Posisi,Instansi,Partai,Kasus_Terkait,Kerugian_Diakibatkan,Vonis_Dijatuhkan,Nyata_Dijalani,Status,Residivis,Kasus,Nilai_Kerugian,Sumber_Perhitungan,Status_Verifikasi,Kerugian,Disita,Dikembalikan_ke_Negara,Recovery_Rate,Node_Asal,Tipe,col_1,Node_Tujuan,Tipe_1,Hubungan_Peran,No_Perkara,Tingkat_Putusan,Link_Ref_MA,Link_Ref_KPK,Link_Ref_Kejaksaan,Link_Ref_BPK,Instansi_Daerah,Risk_Score,Temuan_BPK,Serapan_Anggaran_Aneh,Tender_Tunggal,Vendor_Berulang,Indikasi_Markup,Kasus_Instansi,Sumber_BPK,Sumber_KPK,Putusan_MA,Kejaksaan,PPATK,LKPP,Sumber_Temuan,Kasus_Instansi_Terkait,Ringkasan_Temuan,Status_Tindak_Lanjut,Link_Referensi,Nama_Tender_Proyek,K_L_atau_Daerah,Nilai_Kontrak,Vendor_Pemenang,Metode_Pengadaan,Jumlah_Peserta,Nama_Pejabat,Jabatan,Vendor_Perusahaan_Terkait,Bentuk_Hubungan,Program_Proyek_Terdampak,Status_Investigasi
2011,AIH-7BED56114330FA4C,Apa itu Platinum yang Ditemukan di Mobil Bupati Langkat?,2011,,,DRAFT_REVIEW_NEEDS_OFFICIAL_EVIDENCE,,,,,,,,,,,,Apa itu Platinum yang Ditemukan di Mobil Bupati Langkat?,,CNN Indonesia,AI_HUNTER_DRAFT_REVIEW,,,,,,,,,,,,,,,,,,63,,,,,,,,,,,,,AI_HUNTER_RSS,,"KPK menemukan 55 kg logam mulia jenis platinum yang diduga bernilai puluhan miliar di mobil milik Bupati Langkat, Syah Afandi.",AI_AUDIT_REQUIRED,https://www.cnnindonesia.com/nasional/20260705115535-12-1377055/apa-itu-platinum-yang-ditemukan-di-mobil-bupati-langkat,,,,,,,,,,,,
2011,AIH-A351AD7A18B025F6,KPK Temukan 55 Kg Platinum di Mobil Bupati Langkat,2011,,,DRAFT_REVIEW_NEEDS_OFFICIAL_EVIDENCE,,,,,,,,,,,,KPK Temukan 55 Kg Platinum di Mobil Bupati Langkat,Rp 55.000.000.000,CNN Indonesia,AI_HUNTER_DRAFT_REVIEW,Rp 55.000.000.000,,,,,,,,,,,,,,,,,63,,,,,,,,,,,,,AI_HUNTER_RSS,,"KPK menemukan 55 kg platinum di mobil Bupati Langkat, Syah Afandin, saat OTT. Total nilai barang bukti diperkirakan mencapai Rp40 miliar.",AI_AUDIT_REQUIRED,https://www.cnnindonesia.com/nasional/20260704141216-12-1376841/kpk-temukan-55-kg-platinum-di-mobil-bupati-langkat,,,,,,,,,,,,
2011,AIH-8EF49E1994EDDE84,"KPK: Bupati Langkat Tahu Hendak di-OTT, Ungkap Kode 'Situasi Memanas'",2011,,,DRAFT_REVIEW_NEEDS_OFFICIAL_EVIDENCE,,,,,,,,,,,,"KPK: Bupati Langkat Tahu Hendak di-OTT, Ungkap Kode 'Situasi Memanas'",Rp 100.000.000,CNN Indonesia,AI_HUNTER_DRAFT_REVIEW,Rp 100.000.000,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,,AI_HUNTER_RSS,,"KPK menangkap Bupati Langkat, Syah Afandin, dalam OTT suap proyek. Ia dan pihak swasta ditetapkan sebagai tersangka setelah serah terima uang Rp100 juta.",AI_AUDIT_REQUIRED,https://www.cnnindonesia.com/nasional/20260704131837-12-1376822/kpk-bupati-langkat-tahu-hendak-di-ott-ungkap-kode-situasi-memanas,,,,,,,,,,,,
