tahun,col,Jabatan,Instansi,Gaji_Pokok,Tunjangan_Jabatan,Tukin_TPP,Fasilitas,THR_Bonus,Perjalanan_Dinas,THP_Bln,Dasar_Hukum,Status_Audit,Aksi,Program,PIC,Sasaran,Jumlah_Penerima,Nilai_Penerima,Total_Anggaran,Realisasi,Proyek,Lokasi,Nilai_Kontrak,Anggaran_APBN,Progres,Kontraktor,Thn_Selesai,Jenis_Subsidi,Anggaran_2025,Anggaran_2026,Volume,Harga_Subsidi,Harga_Pasar,Gap,Jenis_Transfer,Syarat,Penerima,Jenis_Lembaga,Sumber_Dana,Jumlah_Hibah,Peruntukan,Jabatan_Instansi,Jenis_Fasilitas,Spesifikasi,Nilai_Aset,Biaya_Ops_th,Jumlah_Unit,Total_Biaya_Negara
2026,AIH-86E6E4B112ADF565,,,,,,,,,,https://www.cnbcindonesia.com/news/20260703172118-4-747928/purbaya-ungkap-dampak-mbg-di-jateng-ciptakan-193-ribu-lowongan-kerja,DRAFT_REVIEW_NEEDS_EVIDENCE,,"Purbaya Ungkap Dampak MBG di Jateng, Ciptakan 193 Ribu Lowongan Kerja",CNBC Indonesia,"Menteri Keuangan Purbaya Yudhi Sadewa mengungkapkan program Makan Bergizi Gratis di Jateng telah menjangkau 9,16 juta penerima manfaat hingga 2026.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,AIH-3E2719CB2D098510,,,,,,,,,,https://www.cnbcindonesia.com/news/20260704185709-7-748062/lautan-manusia-ribuan-pengunjung-padat-sesak-di-jakarta-fair-prj-2026,DRAFT_REVIEW_NEEDS_EVIDENCE,,Lautan Manusia! Ribuan Pengunjung Padat Sesak di Jakarta Fair PRJ 2026,CNBC Indonesia,Pramono menargetkan Jakarta Fair 2026 mampu menarik lebih dari 6 juta pengunjung dengan nilai transaksi melampaui Rp8 triliun.,,,Rp 2.026.000.000.000.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,AIH-14412D262156FC50,,,,,,,,,,https://www.cnbcindonesia.com/news/20260704141229-4-748035/akhir-pekan-tiba-waktunya-belanja-murah-di-transmart-full-day-sale,DRAFT_REVIEW_NEEDS_EVIDENCE,,"Akhir Pekan Tiba, Waktunya Belanja Murah di Transmart Full Day Sale!",CNBC Indonesia,Manfaatkan Transmart Full Day Sale pada 5 Juli 2026 dengan diskon hingga 50% + 20% untuk kebutuhan sehari-hari dan elektronik. Promo berlaku hingga pukul 22.00!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,AIH-5A0CBFDDBF3B3E86,,,,,,,,,,https://www.cnbcindonesia.com/news/20260704140237-4-748034/bayar-pajak-kendaraan-di-prj-2026-bebas-denda-dapat-suvenir,DRAFT_REVIEW_NEEDS_EVIDENCE,,"Bayar Pajak Kendaraan di PRJ 2026, Bebas Denda dan Dapat Suvenir",CNBC Indonesia,Pemprov DKI Jakarta hapus sanksi administrasi pajak kendaraan hingga 31 Agustus 2026. Bayar pajak di Gerai Samsat PRJ sambil menikmati pameran.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
