tahun,col,Nama_Kasus,Tahun,Era_Presiden,Sektor_K_L_Terkait,Status_Hukum,Aksi,Nama,Jabatan_Posisi,Instansi,Partai,Kasus_Terkait,Kerugian_Diakibatkan,Vonis_Dijatuhkan,Nyata_Dijalani,Status,Residivis,Kasus,Nilai_Kerugian,Sumber_Perhitungan,Status_Verifikasi,Kerugian,Disita,Dikembalikan_ke_Negara,Recovery_Rate,Node_Asal,Tipe,col_1,Node_Tujuan,Tipe_1,Hubungan_Peran,No_Perkara,Tingkat_Putusan,Link_Ref_MA,Link_Ref_KPK,Link_Ref_Kejaksaan,Link_Ref_BPK,Instansi_Daerah,Risk_Score,Temuan_BPK,Serapan_Anggaran_Aneh,Tender_Tunggal,Vendor_Berulang,Indikasi_Markup,Kasus_Instansi,Sumber_BPK,Sumber_KPK,Putusan_MA,Kejaksaan,PPATK,LKPP,Sumber_Temuan,Kasus_Instansi_Terkait,Ringkasan_Temuan,Status_Tindak_Lanjut,Link_Referensi,Nama_Tender_Proyek,K_L_atau_Daerah,Nilai_Kontrak,Vendor_Pemenang,Metode_Pengadaan,Jumlah_Peserta,Nama_Pejabat,Jabatan,Vendor_Perusahaan_Terkait,Bentuk_Hubungan,Program_Proyek_Terdampak,Status_Investigasi
2026,AIH-B7AA51703244BB0E,"KPK: Bupati Langkat Terima Suap Rp800 Juta dari Total 1,1 M",2026,,,DRAFT_REVIEW_NEEDS_OFFICIAL_EVIDENCE,,,,,,,,,,,,"KPK: Bupati Langkat Terima Suap Rp800 Juta dari Total 1,1 M",Rp 800.000.000,CNN Indonesia,AI_HUNTER_DRAFT_REVIEW,Rp 800.000.000,,,,,,,,,,,,,,,,,63,,,,,,,,,,,,,AI_HUNTER_RSS,,"KPK ungkap Bupati Langkat, Syah Afandin, terima suap Rp800 juta dari Yaqub Abdhal. Kasus melibatkan proyek di Dinas Pendidikan dan Disperkim.",AI_AUDIT_REQUIRED,https://www.cnnindonesia.com/nasional/20260704070854-12-1376709/kpk-bupati-langkat-terima-suap-rp800-juta-dari-total-11-m,,,,,,,,,,,,
2026,AIH-9AE92CC8638B5A13,"Purbaya Ungkap Dampak MBG di Jateng, Ciptakan 193 Ribu Lowongan Kerja",2026,,,DRAFT_REVIEW_NEEDS_OFFICIAL_EVIDENCE,,,,,,,,,,,,"Purbaya Ungkap Dampak MBG di Jateng, Ciptakan 193 Ribu Lowongan Kerja",,CNBC Indonesia,AI_HUNTER_DRAFT_REVIEW,,,,,,,,,,,,,,,,,,67,,,,,,,,,,,,,AI_HUNTER_RSS,,"Menteri Keuangan Purbaya Yudhi Sadewa mengungkapkan program Makan Bergizi Gratis di Jateng telah menjangkau 9,16 juta penerima manfaat hingga 2026.",AI_AUDIT_REQUIRED,https://www.cnbcindonesia.com/news/20260703172118-4-747928/purbaya-ungkap-dampak-mbg-di-jateng-ciptakan-193-ribu-lowongan-kerja,,,,,,,,,,,,
2026,AIH-1CB1CC8013D5904C,Penjelasan KPK soal Sita Aset-aset Japto Ketum PP Diduga Hasil Korupsi,2026,,,DRAFT_REVIEW_NEEDS_OFFICIAL_EVIDENCE,,,,,,,,,,,,Penjelasan KPK soal Sita Aset-aset Japto Ketum PP Diduga Hasil Korupsi,Rp 56.000.000.000,CNN Indonesia,AI_HUNTER_DRAFT_REVIEW,Rp 56.000.000.000,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,,AI_HUNTER_RSS,,KPK menyita aset milik Japto Soerjosoemarno terkait dugaan korupsi mantan Bupati Kutai Kartanegara. Aset yang disita uang senilai Rp56 miliar hingga 11 mobil.,AI_AUDIT_REQUIRED,https://www.cnnindonesia.com/nasional/20260703092812-12-1376335/penjelasan-kpk-soal-sita-aset-aset-japto-ketum-pp-diduga-hasil-korupsi,,,,,,,,,,,,
2026,AIH-302D09BC2A035FDA,Richard Muljadi Terancam 8 Tahun Bui Kasus Penipuan Batu Bara Rp7 M,2026,,,DRAFT_REVIEW_NEEDS_OFFICIAL_EVIDENCE,,,,,,,,,,,,Richard Muljadi Terancam 8 Tahun Bui Kasus Penipuan Batu Bara Rp7 M,,CNN Indonesia,AI_HUNTER_DRAFT_REVIEW,,,,,,,,,,,,,,,,,,63,,,,,,,,,,,,,AI_HUNTER_RSS,,"Kejaksaan Agung menangkap buronan penipuan bisnis batu bara, Richard Arief Muljadi, di Bandara Soekarno Hatta. Ia didakwa merugikan Rp7 miliar.",AI_AUDIT_REQUIRED,https://www.cnnindonesia.com/nasional/20260622071005-12-1371646/richard-muljadi-terancam-8-tahun-bui-kasus-penipuan-batu-bara-rp7-m,,,,,,,,,,,,
2026,AIH-1DD33B5C66199903,Siapa Buron Kasus Batu Bara yang Ditangkap Kejagung?,2026,,,DRAFT_REVIEW_NEEDS_OFFICIAL_EVIDENCE,,,,,,,,,,,,Siapa Buron Kasus Batu Bara yang Ditangkap Kejagung?,Rp 7.000.000.000,CNN Indonesia,AI_HUNTER_DRAFT_REVIEW,Rp 7.000.000.000,,,,,,,,,,,,,,,,,63,,,,,,,,,,,,,AI_HUNTER_RSS,,"Tim SIRI dan Kejaksaan menangkap Richard Arief Muljadi, buronan penipuan batu bara, di Bandara Soekarno Hatta. Ia didakwa kerugian Rp7 miliar.",AI_AUDIT_REQUIRED,https://www.cnnindonesia.com/nasional/20260621211701-12-1371580/siapa-buron-kasus-batu-bara-yang-ditangkap-kejagung,,,,,,,,,,,,
