tahun,Bln_Thn,Akun,Keterangan,Kredit_Rp,Status,Tgl,No_Bukti,Debet,Kredit,Saldo,Aksi,Modul,ID,Data,Dihapus_Pada
2015,0/2015,AI_HUNTER_DRAFT,Kejati DKI Jerat Bos Swasta Tersangka Belanja Rutin Kementerian PU,,DRAFT_REVIEW_NEEDS_EVIDENCE,2026-07-12,https://www.cnnindonesia.com/nasional/20260708152722-12-1378379/kejati-dki-jerat-bos-swasta-tersangka-belanja-rutin-kementerian-pu,,,,AUDIT_VALIDATE_PROMOTE,korupsi,MR-AI-33B8C228D43AF988,"Kejaksaan Tinggi Jakarta menetapkan JND sebagai tersangka baru dalam kasus korupsi di Kementerian PU, merugikan negara Rp16 miliar melalui proyek fiktif. CNN Indonesia",
2015,0/2015,AI_HUNTER_DRAFT,Polisi Temukan Brankas Tersembunyi di Sentul Terkait Kasus Batu Bara,Rp 12.000.000.000,DRAFT_REVIEW_NEEDS_EVIDENCE,2026-07-12,https://www.cnnindonesia.com/nasional/20260708232753-12-1378539/polisi-temukan-brankas-tersembunyi-di-sentul-terkait-kasus-batu-bara,,,,AUDIT_VALIDATE_PROMOTE,korupsi,MR-AI-4A6C3909320D2B69,"Polisi geledah 12 lokasi terkait kasus korupsi dan TPPU, menemukan brankas tersembunyi di Sentul. Uang senilai Rp67,2 miliar disita dari pengeledahan di Cipete. CNN Indonesia",
2015,0/2015,AI_HUNTER_DRAFT,"Usai Digeledah, Lantai 2 Kafe de'Clan di Cipete Disegel Polisi",Rp 2.000.000.000,DRAFT_REVIEW_NEEDS_EVIDENCE,2026-07-12,https://www.cnnindonesia.com/nasional/20260708222855-12-1378533/usai-digeledah-lantai-2-kafe-declan-di-cipete-disegel-polisi,,,,AUDIT_VALIDATE_PROMOTE,korupsi,MR-AI-8A5CE484EA1F6193,"Polisi segel lantai 2 kafe de'Clan Signature dan money changer di Jaksel usai digeledah. Total yang disita mencapai Rp67,2 miliar terkait dugaan korupsi-TPPU. CNN Indonesia",
2015,0/2015,AI_HUNTER_DRAFT,"Geledah Kafe dan Money Changer di Cipete, Polri Sita Uang Rp67,2 M",Rp 67.200.000.000,DRAFT_REVIEW_NEEDS_EVIDENCE,2026-07-12,https://www.cnnindonesia.com/nasional/20260708213256-12-1378524/geledah-kafe-dan-money-changer-di-cipete-polri-sita-uang-rp672-m,,,,AUDIT_VALIDATE_PROMOTE,korupsi,MR-AI-13953D85688C1B95,"Penyidik kepolisian menyita Rp67,2 miliar dari de'Clan Signature dan Koin Money Changer di Jakarta terkait kasus korupsi dan pencucian uang. CNN Indonesia",
2015,0/2015,AI_HUNTER_DRAFT,Dirut BPJS: Kerugian Fraud Bidang Kesehatan Turun Jadi Rp6 Triliun,Rp 6.000.000.000.000,DRAFT_REVIEW_NEEDS_EVIDENCE,2026-07-12,https://www.cnnindonesia.com/nasional/20260708140052-12-1378333/dirut-bpjs-kerugian-fraud-bidang-kesehatan-turun-jadi-rp6-triliun,,,,AUDIT_VALIDATE_PROMOTE,korupsi,MR-AI-40C2EBBA5DC2B233,"Direktur Utama BPJS Kesehatan, Prihati Pujowaskito, mengungkapkan penurunan kerugian fraud kesehatan menjadi Rp6 triliun dan pentingnya kolaborasi dengan KPK. CNN Indonesia",
2015,0/2015,AI_HUNTER_DRAFT,Kejaksaan Tetapkan Pejabat Bea Cukai Tersangka Korupsi Tanah Jarang,,DRAFT_REVIEW_NEEDS_EVIDENCE,2026-07-12,https://www.cnbcindonesia.com/news/20260708133751-4-749136/kejaksaan-tetapkan-pejabat-bea-cukai-tersangka-korupsi-tanah-jarang,,,,AUDIT_VALIDATE_PROMOTE,korupsi,MR-AI-E9CD0B2422A42E6A,Tiga tersangka ditetapkan dalam kasus korupsi pertambangan oleh Kejaksaan Agung. Mereka terlibat manipulasi dokumen ekspor mineral terlarang. CNBC Indonesia,
