tahun,col,Module,Record,Jenis_Saran,Field,Usulan,Risk,Status,Alias,Canonical,Tipe,Confidence,Aksi
2026,HUNTER-AC68A19E3F351D00,parpol,"Purbaya Ungkap Dampak MBG di Jateng, Ciptakan 193 Ribu Lowongan Kerja",AI_HUNTER_RSS,source_candidate,"Menteri Keuangan Purbaya Yudhi Sadewa mengungkapkan program Makan Bergizi Gratis di Jateng telah menjangkau 9,16 juta penerima manfaat hingga 2026. https://www.cnbcindonesia.com/news/20260703172118-4-747928/purbaya-ungkap-dampak-mbg-di-jateng-ciptakan-193-ribu-lowongan-kerja",LOW,DRAFT_REVIEW_NEEDS_EVIDENCE,MR-AI-876F47FEA6CEBD84,https://www.cnbcindonesia.com/news/20260703172118-4-747928/purbaya-ungkap-dampak-mbg-di-jateng-ciptakan-193-ribu-lowongan-kerja,CURRENT_PERIOD_SEARCH,67,AI_AUDIT_AND_MAP_TO_FINAL_MODULE
2026,HUNTER-E0180FFA49589A94,prog_daerah,"Purbaya Ungkap Dampak MBG di Jateng, Ciptakan 193 Ribu Lowongan Kerja",AI_HUNTER_RSS,source_candidate,"Menteri Keuangan Purbaya Yudhi Sadewa mengungkapkan program Makan Bergizi Gratis di Jateng telah menjangkau 9,16 juta penerima manfaat hingga 2026. https://www.cnbcindonesia.com/news/20260703172118-4-747928/purbaya-ungkap-dampak-mbg-di-jateng-ciptakan-193-ribu-lowongan-kerja",LOW,DRAFT_REVIEW_NEEDS_EVIDENCE,MR-AI-3F66B768A03AF772,https://www.cnbcindonesia.com/news/20260703172118-4-747928/purbaya-ungkap-dampak-mbg-di-jateng-ciptakan-193-ribu-lowongan-kerja,CURRENT_PERIOD_SEARCH,67,AI_AUDIT_AND_MAP_TO_FINAL_MODULE
2026,HUNTER-45F8D05B766EC56B,prog_eksekutif,"Purbaya Ungkap Dampak MBG di Jateng, Ciptakan 193 Ribu Lowongan Kerja",AI_HUNTER_RSS,source_candidate,"Menteri Keuangan Purbaya Yudhi Sadewa mengungkapkan program Makan Bergizi Gratis di Jateng telah menjangkau 9,16 juta penerima manfaat hingga 2026. https://www.cnbcindonesia.com/news/20260703172118-4-747928/purbaya-ungkap-dampak-mbg-di-jateng-ciptakan-193-ribu-lowongan-kerja",LOW,DRAFT_REVIEW_NEEDS_EVIDENCE,MR-AI-3FC89DCE2538220C,https://www.cnbcindonesia.com/news/20260703172118-4-747928/purbaya-ungkap-dampak-mbg-di-jateng-ciptakan-193-ribu-lowongan-kerja,CURRENT_PERIOD_SEARCH,67,AI_AUDIT_AND_MAP_TO_FINAL_MODULE
2026,HUNTER-A44D6F0A0F30812B,prog_legislatif,"Purbaya Ungkap Dampak MBG di Jateng, Ciptakan 193 Ribu Lowongan Kerja",AI_HUNTER_RSS,source_candidate,"Menteri Keuangan Purbaya Yudhi Sadewa mengungkapkan program Makan Bergizi Gratis di Jateng telah menjangkau 9,16 juta penerima manfaat hingga 2026. https://www.cnbcindonesia.com/news/20260703172118-4-747928/purbaya-ungkap-dampak-mbg-di-jateng-ciptakan-193-ribu-lowongan-kerja",LOW,DRAFT_REVIEW_NEEDS_EVIDENCE,MR-AI-C9F4F4294C1010CA,https://www.cnbcindonesia.com/news/20260703172118-4-747928/purbaya-ungkap-dampak-mbg-di-jateng-ciptakan-193-ribu-lowongan-kerja,CURRENT_PERIOD_SEARCH,67,AI_AUDIT_AND_MAP_TO_FINAL_MODULE
2026,HUNTER-9C0661B8E3887B86,redflag,"Purbaya Ungkap Dampak MBG di Jateng, Ciptakan 193 Ribu Lowongan Kerja",AI_HUNTER_RSS,source_candidate,"Menteri Keuangan Purbaya Yudhi Sadewa mengungkapkan program Makan Bergizi Gratis di Jateng telah menjangkau 9,16 juta penerima manfaat hingga 2026. https://www.cnbcindonesia.com/news/20260703172118-4-747928/purbaya-ungkap-dampak-mbg-di-jateng-ciptakan-193-ribu-lowongan-kerja",LOW,DRAFT_REVIEW_NEEDS_EVIDENCE,MR-AI-997EB8150DD7E0AF,https://www.cnbcindonesia.com/news/20260703172118-4-747928/purbaya-ungkap-dampak-mbg-di-jateng-ciptakan-193-ribu-lowongan-kerja,CURRENT_PERIOD_SEARCH,67,AI_AUDIT_AND_MAP_TO_FINAL_MODULE
2026,HUNTER-0E398A4F38E49A05,risknas,"Purbaya Ungkap Dampak MBG di Jateng, Ciptakan 193 Ribu Lowongan Kerja",AI_HUNTER_RSS,source_candidate,"Menteri Keuangan Purbaya Yudhi Sadewa mengungkapkan program Makan Bergizi Gratis di Jateng telah menjangkau 9,16 juta penerima manfaat hingga 2026. https://www.cnbcindonesia.com/news/20260703172118-4-747928/purbaya-ungkap-dampak-mbg-di-jateng-ciptakan-193-ribu-lowongan-kerja",LOW,DRAFT_REVIEW_NEEDS_EVIDENCE,MR-AI-10F3864E0BA421E6,https://www.cnbcindonesia.com/news/20260703172118-4-747928/purbaya-ungkap-dampak-mbg-di-jateng-ciptakan-193-ribu-lowongan-kerja,CURRENT_PERIOD_SEARCH,67,AI_AUDIT_AND_MAP_TO_FINAL_MODULE
2026,HUNTER-A90DA032E1B01FCC,sda,"Purbaya Ungkap Dampak MBG di Jateng, Ciptakan 193 Ribu Lowongan Kerja",AI_HUNTER_RSS,source_candidate,"Menteri Keuangan Purbaya Yudhi Sadewa mengungkapkan program Makan Bergizi Gratis di Jateng telah menjangkau 9,16 juta penerima manfaat hingga 2026. https://www.cnbcindonesia.com/news/20260703172118-4-747928/purbaya-ungkap-dampak-mbg-di-jateng-ciptakan-193-ribu-lowongan-kerja",LOW,DRAFT_REVIEW_NEEDS_EVIDENCE,MR-AI-13F33EA9EC2F2C66,https://www.cnbcindonesia.com/news/20260703172118-4-747928/purbaya-ungkap-dampak-mbg-di-jateng-ciptakan-193-ribu-lowongan-kerja,CURRENT_PERIOD_SEARCH,67,AI_AUDIT_AND_MAP_TO_FINAL_MODULE
2026,HUNTER-0A6AA7351C7B6374,vendor,"Purbaya Ungkap Dampak MBG di Jateng, Ciptakan 193 Ribu Lowongan Kerja",AI_HUNTER_RSS,source_candidate,"Menteri Keuangan Purbaya Yudhi Sadewa mengungkapkan program Makan Bergizi Gratis di Jateng telah menjangkau 9,16 juta penerima manfaat hingga 2026. https://www.cnbcindonesia.com/news/20260703172118-4-747928/purbaya-ungkap-dampak-mbg-di-jateng-ciptakan-193-ribu-lowongan-kerja",LOW,DRAFT_REVIEW_NEEDS_EVIDENCE,MR-AI-EC3DF95281FBA87F,https://www.cnbcindonesia.com/news/20260703172118-4-747928/purbaya-ungkap-dampak-mbg-di-jateng-ciptakan-193-ribu-lowongan-kerja,CURRENT_PERIOD_SEARCH,67,AI_AUDIT_AND_MAP_TO_FINAL_MODULE
2026,HUNTER-86B5EF14A24676B4,prog_legislatif,Keluarga Dokter Icha Laporkan Tiga Anggota DPRD TTU ke Polda NTT,AI_HUNTER_RSS,source_candidate,Keluarga Dokter Icha laporkan tiga anggota DPRD TTU ke Polda NTT terkait dugaan intimidasi. Kasus ini menarik perhatian publik dan dibentuk tim investiga https://www.cnnindonesia.com/nasional/20260703111631-12-1376378/keluarga-dokter-icha-laporkan-tiga-anggota-dprd-ttu-ke-polda-ntt,LOW,DRAFT_REVIEW_NEEDS_EVIDENCE,MR-AI-1AF37BC66A9ABB2B,https://www.cnnindonesia.com/nasional/20260703111631-12-1376378/keluarga-dokter-icha-laporkan-tiga-anggota-dprd-ttu-ke-polda-ntt,CURRENT_PERIOD_SEARCH,68,AI_AUDIT_AND_MAP_TO_FINAL_MODULE
2026,HUNTER-FE92D80ECF800FE7,korupsi,Penjelasan KPK soal Sita Aset-aset Japto Ketum PP Diduga Hasil Korupsi,AI_HUNTER_RSS,source_candidate,KPK menyita aset milik Japto Soerjosoemarno terkait dugaan korupsi mantan Bupati Kutai Kartanegara. Aset yang disita uang senilai Rp56 miliar hingga 11 mobil. https://www.cnnindonesia.com/nasional/20260703092812-12-1376335/penjelasan-kpk-soal-sita-aset-aset-japto-ketum-pp-diduga-hasil-korupsi,MEDIUM,DRAFT_REVIEW_NEEDS_EVIDENCE,MR-AI-6BFF445F8C65987E,https://www.cnnindonesia.com/nasional/20260703092812-12-1376335/penjelasan-kpk-soal-sita-aset-aset-japto-ketum-pp-diduga-hasil-korupsi,CURRENT_PERIOD_SEARCH,78,AI_AUDIT_AND_MAP_TO_FINAL_MODULE
