tahun,Bln_Thn,Akun,Keterangan,Kredit_Rp,Status,Tgl,No_Bukti,Debet,Kredit,Saldo,Aksi,Modul,ID,Data,Dihapus_Pada
2011,0/2011,AI_HUNTER_DRAFT,Apa itu Platinum yang Ditemukan di Mobil Bupati Langkat?,,DRAFT_REVIEW_NEEDS_EVIDENCE,2026-07-16,https://www.cnnindonesia.com/nasional/20260705115535-12-1377055/apa-itu-platinum-yang-ditemukan-di-mobil-bupati-langkat,,,,AUDIT_VALIDATE_PROMOTE,korupsi,MR-AI-7BFC6E5144B8CFAF,"KPK menemukan 55 kg logam mulia jenis platinum yang diduga bernilai puluhan miliar di mobil milik Bupati Langkat, Syah Afandi. CNN Indonesia",
2011,0/2011,AI_HUNTER_DRAFT,KPK Temukan 55 Kg Platinum di Mobil Bupati Langkat,Rp 55.000.000.000,DRAFT_REVIEW_NEEDS_EVIDENCE,2026-07-16,https://www.cnnindonesia.com/nasional/20260704141216-12-1376841/kpk-temukan-55-kg-platinum-di-mobil-bupati-langkat,,,,AUDIT_VALIDATE_PROMOTE,korupsi,MR-AI-B5CF07C8F7DAB138,"KPK menemukan 55 kg platinum di mobil Bupati Langkat, Syah Afandin, saat OTT. Total nilai barang bukti diperkirakan mencapai Rp40 miliar. CNN Indonesia",
2011,0/2011,AI_HUNTER_DRAFT,"KPK: Bupati Langkat Tahu Hendak di-OTT, Ungkap Kode 'Situasi Memanas'",Rp 100.000.000,DRAFT_REVIEW_NEEDS_EVIDENCE,2026-07-16,https://www.cnnindonesia.com/nasional/20260704131837-12-1376822/kpk-bupati-langkat-tahu-hendak-di-ott-ungkap-kode-situasi-memanas,,,,AUDIT_VALIDATE_PROMOTE,korupsi,MR-AI-75CFAA4465830F38,"KPK menangkap Bupati Langkat, Syah Afandin, dalam OTT suap proyek. Ia dan pihak swasta ditetapkan sebagai tersangka setelah serah terima uang Rp100 juta. CNN Indonesia",
2011,0/2011,AI_HUNTER_DRAFT,"PNS Bea Cukai Meninggal Saat Tugas, Purbaya Sampaikan Ucapan Duka",,DRAFT_REVIEW_NEEDS_EVIDENCE,2026-07-16,https://www.cnbcindonesia.com/news/20260708125250-4-749124/pns-bea-cukai-meninggal-saat-tugas-purbaya-sampaikan-ucapan-duka,,,,AUDIT_VALIDATE_PROMOTE,bea_cukai,MR-AI-4FE0C888E179876F,"Purbaya mengucapkan belasungkawa atas meninggalnya Pelaksana di KPPBC TMP B Pekanbaru, Aditya Waskita Jauhari. CNBC Indonesia",
2011,0/2011,AI_HUNTER_DRAFT,Kejaksaan Tetapkan Pejabat Bea Cukai Tersangka Korupsi Tanah Jarang,,DRAFT_REVIEW_NEEDS_EVIDENCE,2026-07-16,https://www.cnbcindonesia.com/news/20260708133751-4-749136/kejaksaan-tetapkan-pejabat-bea-cukai-tersangka-korupsi-tanah-jarang,,,,AUDIT_VALIDATE_PROMOTE,bea_cukai,MR-AI-86C3FEAA78B472EA,Tiga tersangka ditetapkan dalam kasus korupsi pertambangan oleh Kejaksaan Agung. Mereka terlibat manipulasi dokumen ekspor mineral terlarang. CNBC Indonesia,
