tahun,col,Tahun,Bulan,Jenis,Importir_Eksportir,Komoditas,HS_Code,Pelabuhan,Nilai_Barang,Penerimaan,Dokumen,Status,Aksi,Severity,Entitas,Indikasi,Risk,Evidence,Kasus,Modus,Potensi_Kerugian,Instansi,Putusan_Sumber
2026,AIH-9CCDB3EE72CE4D6D,2026,6,"Purbaya Ungkap Dampak MBG di Jateng, Ciptakan 193 Ribu Lowongan Kerja",,,,,,,https://www.cnbcindonesia.com/news/20260703172118-4-747928/purbaya-ungkap-dampak-mbg-di-jateng-ciptakan-193-ribu-lowongan-kerja,DRAFT_REVIEW_NEEDS_EVIDENCE,,LOW,,"Menteri Keuangan Purbaya Yudhi Sadewa mengungkapkan program Makan Bergizi Gratis di Jateng telah menjangkau 9,16 juta penerima manfaat hingga 2026.",,CNBC Indonesia,,,,,
2026,AIH-B2C287A6A0D5252A,2026,6,Lautan Manusia! Ribuan Pengunjung Padat Sesak di Jakarta Fair PRJ 2026,,,,,,Rp 2.026.000.000.000.000,https://www.cnbcindonesia.com/news/20260704185709-7-748062/lautan-manusia-ribuan-pengunjung-padat-sesak-di-jakarta-fair-prj-2026,DRAFT_REVIEW_NEEDS_EVIDENCE,,LOW,,Pramono menargetkan Jakarta Fair 2026 mampu menarik lebih dari 6 juta pengunjung dengan nilai transaksi melampaui Rp8 triliun.,,CNBC Indonesia,,,,,
2026,AIH-EFE94BDEDB9C889A,2026,6,"Akhir Pekan Tiba, Waktunya Belanja Murah di Transmart Full Day Sale!",,,,,,,https://www.cnbcindonesia.com/news/20260704141229-4-748035/akhir-pekan-tiba-waktunya-belanja-murah-di-transmart-full-day-sale,DRAFT_REVIEW_NEEDS_EVIDENCE,,LOW,,Manfaatkan Transmart Full Day Sale pada 5 Juli 2026 dengan diskon hingga 50% + 20% untuk kebutuhan sehari-hari dan elektronik. Promo berlaku hingga pukul 22.00!,,CNBC Indonesia,,,,,
2026,AIH-700998F5EB79E488,2026,6,"Bayar Pajak Kendaraan di PRJ 2026, Bebas Denda dan Dapat Suvenir",,,,,,,https://www.cnbcindonesia.com/news/20260704140237-4-748034/bayar-pajak-kendaraan-di-prj-2026-bebas-denda-dapat-suvenir,DRAFT_REVIEW_NEEDS_EVIDENCE,,LOW,,Pemprov DKI Jakarta hapus sanksi administrasi pajak kendaraan hingga 31 Agustus 2026. Bayar pajak di Gerai Samsat PRJ sambil menikmati pameran.,,CNBC Indonesia,,,,,
