tahun,col,Tipe,Instansi_Program,Deskripsi,Bukti,Level,Status,Dilaporkan,Aksi
2026,AIH-EC04560C4D58C3CA,AI_HUNTER_RSS,CNBC Indonesia,"Purbaya Ungkap Dampak MBG di Jateng, Ciptakan 193 Ribu Lowongan Kerja Menteri Keuangan Purbaya Yudhi Sadewa mengungkapkan program Makan Bergizi Gratis di Jateng telah menjangkau 9,16 juta penerima manfaat hingga 2026.",https://www.cnbcindonesia.com/news/20260703172118-4-747928/purbaya-ungkap-dampak-mbg-di-jateng-ciptakan-193-ribu-lowongan-kerja,LOW,DRAFT_REVIEW_NEEDS_CROSSCHECK,2026-07-16,
2026,AIH-2CA327532DDFBBFF,AI_HUNTER_RSS,CNBC Indonesia,Lautan Manusia! Ribuan Pengunjung Padat Sesak di Jakarta Fair PRJ 2026 Pramono menargetkan Jakarta Fair 2026 mampu menarik lebih dari 6 juta pengunjung dengan nilai transaksi melampaui Rp8 triliun.,https://www.cnbcindonesia.com/news/20260704185709-7-748062/lautan-manusia-ribuan-pengunjung-padat-sesak-di-jakarta-fair-prj-2026,LOW,DRAFT_REVIEW_NEEDS_CROSSCHECK,2026-07-16,
2026,AIH-26AE9C8860E1216F,AI_HUNTER_RSS,CNBC Indonesia,"Akhir Pekan Tiba, Waktunya Belanja Murah di Transmart Full Day Sale! Manfaatkan Transmart Full Day Sale pada 5 Juli 2026 dengan diskon hingga 50% + 20% untuk kebutuhan sehari-hari dan elektronik. Promo berlaku hingga pukul 22.00!",https://www.cnbcindonesia.com/news/20260704141229-4-748035/akhir-pekan-tiba-waktunya-belanja-murah-di-transmart-full-day-sale,LOW,DRAFT_REVIEW_NEEDS_CROSSCHECK,2026-07-16,
2026,AIH-EE4C6270D50A84EB,AI_HUNTER_RSS,CNBC Indonesia,"Bayar Pajak Kendaraan di PRJ 2026, Bebas Denda dan Dapat Suvenir Pemprov DKI Jakarta hapus sanksi administrasi pajak kendaraan hingga 31 Agustus 2026. Bayar pajak di Gerai Samsat PRJ sambil menikmati pameran.",https://www.cnbcindonesia.com/news/20260704140237-4-748034/bayar-pajak-kendaraan-di-prj-2026-bebas-denda-dapat-suvenir,LOW,DRAFT_REVIEW_NEEDS_CROSSCHECK,2026-07-16,
