tahun,col,Module,Record,Jenis_Saran,Field,Usulan,Risk,Status,Alias,Canonical,Tipe,Confidence,Aksi
2015,HUNTER-8159DAD738374045,korupsi,Kejati DKI Jerat Bos Swasta Tersangka Belanja Rutin Kementerian PU,AI_HUNTER_RSS,source_candidate,"Kejaksaan Tinggi Jakarta menetapkan JND sebagai tersangka baru dalam kasus korupsi di Kementerian PU, merugikan negara Rp16 miliar melalui proyek fiktif. https://www.cnnindonesia.com/nasional/20260708152722-12-1378379/kejati-dki-jerat-bos-swasta-tersangka-belanja-rutin-kementerian-pu",HIGH,DRAFT_REVIEW_NEEDS_EVIDENCE,MR-AI-33B8C228D43AF988,https://www.cnnindonesia.com/nasional/20260708152722-12-1378379/kejati-dki-jerat-bos-swasta-tersangka-belanja-rutin-kementerian-pu,HISTORICAL_BACKFILL_REQUIRED,93,AI_AUDIT_AND_MAP_TO_FINAL_MODULE
2015,HUNTER-B768416D3758432B,korupsi,Polisi Temukan Brankas Tersembunyi di Sentul Terkait Kasus Batu Bara,AI_HUNTER_RSS,source_candidate,"Polisi geledah 12 lokasi terkait kasus korupsi dan TPPU, menemukan brankas tersembunyi di Sentul. Uang senilai Rp67,2 miliar disita dari pengeledahan di Cipete. https://www.cnnindonesia.com/nasional/20260708232753-12-1378539/polisi-temukan-brankas-tersembunyi-di-sentul-terkait-kasus-batu-bara",LOW,DRAFT_REVIEW_NEEDS_EVIDENCE,MR-AI-4A6C3909320D2B69,https://www.cnnindonesia.com/nasional/20260708232753-12-1378539/polisi-temukan-brankas-tersembunyi-di-sentul-terkait-kasus-batu-bara,HISTORICAL_BACKFILL_REQUIRED,63,AI_AUDIT_AND_MAP_TO_FINAL_MODULE
2015,HUNTER-87A85E40E04D49F0,korupsi,"Usai Digeledah, Lantai 2 Kafe de'Clan di Cipete Disegel Polisi",AI_HUNTER_RSS,source_candidate,"Polisi segel lantai 2 kafe de'Clan Signature dan money changer di Jaksel usai digeledah. Total yang disita mencapai Rp67,2 miliar terkait dugaan korupsi-TPPU. https://www.cnnindonesia.com/nasional/20260708222855-12-1378533/usai-digeledah-lantai-2-kafe-declan-di-cipete-disegel-polisi",LOW,DRAFT_REVIEW_NEEDS_EVIDENCE,MR-AI-8A5CE484EA1F6193,https://www.cnnindonesia.com/nasional/20260708222855-12-1378533/usai-digeledah-lantai-2-kafe-declan-di-cipete-disegel-polisi,HISTORICAL_BACKFILL_REQUIRED,63,AI_AUDIT_AND_MAP_TO_FINAL_MODULE
2015,HUNTER-A6191C6234678E79,korupsi,"Geledah Kafe dan Money Changer di Cipete, Polri Sita Uang Rp67,2 M",AI_HUNTER_RSS,source_candidate,"Penyidik kepolisian menyita Rp67,2 miliar dari de'Clan Signature dan Koin Money Changer di Jakarta terkait kasus korupsi dan pencucian uang. https://www.cnnindonesia.com/nasional/20260708213256-12-1378524/geledah-kafe-dan-money-changer-di-cipete-polri-sita-uang-rp672-m",LOW,DRAFT_REVIEW_NEEDS_EVIDENCE,MR-AI-13953D85688C1B95,https://www.cnnindonesia.com/nasional/20260708213256-12-1378524/geledah-kafe-dan-money-changer-di-cipete-polri-sita-uang-rp672-m,HISTORICAL_BACKFILL_REQUIRED,63,AI_AUDIT_AND_MAP_TO_FINAL_MODULE
2015,HUNTER-0CBBEBD372D66993,korupsi,Dirut BPJS: Kerugian Fraud Bidang Kesehatan Turun Jadi Rp6 Triliun,AI_HUNTER_RSS,source_candidate,"Direktur Utama BPJS Kesehatan, Prihati Pujowaskito, mengungkapkan penurunan kerugian fraud kesehatan menjadi Rp6 triliun dan pentingnya kolaborasi dengan KPK. https://www.cnnindonesia.com/nasional/20260708140052-12-1378333/dirut-bpjs-kerugian-fraud-bidang-kesehatan-turun-jadi-rp6-triliun",LOW,DRAFT_REVIEW_NEEDS_EVIDENCE,MR-AI-40C2EBBA5DC2B233,https://www.cnnindonesia.com/nasional/20260708140052-12-1378333/dirut-bpjs-kerugian-fraud-bidang-kesehatan-turun-jadi-rp6-triliun,HISTORICAL_BACKFILL_REQUIRED,63,AI_AUDIT_AND_MAP_TO_FINAL_MODULE
2015,HUNTER-1C53EBAD27FF7FBB,korupsi,Kejaksaan Tetapkan Pejabat Bea Cukai Tersangka Korupsi Tanah Jarang,AI_HUNTER_RSS,source_candidate,Tiga tersangka ditetapkan dalam kasus korupsi pertambangan oleh Kejaksaan Agung. Mereka terlibat manipulasi dokumen ekspor mineral terlarang. https://www.cnbcindonesia.com/news/20260708133751-4-749136/kejaksaan-tetapkan-pejabat-bea-cukai-tersangka-korupsi-tanah-jarang,HIGH,DRAFT_REVIEW_NEEDS_EVIDENCE,MR-AI-E9CD0B2422A42E6A,https://www.cnbcindonesia.com/news/20260708133751-4-749136/kejaksaan-tetapkan-pejabat-bea-cukai-tersangka-korupsi-tanah-jarang,HISTORICAL_BACKFILL_REQUIRED,93,AI_AUDIT_AND_MAP_TO_FINAL_MODULE
