tahun,col,Provinsi,Gubernur,Program_Unggulan,APBD,Capaian,Aksi,Kab_Kota,Bupati_Walkot,Tingkat,Program,Sumber_Dana,Besaran,Keterangan,Dasar_Hukum,Anggaran,Output,Status
2026,AIH-74E8EC0ED8EDDA47,,,,,,,,,,Flyover Latumenten Jakarta Barat Disebut Bisa Kurangi Macet 40 Persen,APBN/APBD_NEEDS_MAPPING,,AI_HUNTER_RSS,https://www.cnnindonesia.com/nasional/20260703204701-20-1376641/flyover-latumenten-jakarta-barat-disebut-bisa-kurangi-macet-40-persen,,"Anggota DPRD DKI, Hardiyanto Kenneth, menyatakan Flyover Latumenten akan kurangi kemacetan 40%. Proyek ini ditargetkan selesai Desember 2026.",DRAFT_REVIEW_NEEDS_EVIDENCE
2026,AIH-D1BF46352A510F85,,,,,,,,,,"Purbaya Ungkap Dampak MBG di Jateng, Ciptakan 193 Ribu Lowongan Kerja",APBN/APBD_NEEDS_MAPPING,,AI_HUNTER_RSS,https://www.cnbcindonesia.com/news/20260703172118-4-747928/purbaya-ungkap-dampak-mbg-di-jateng-ciptakan-193-ribu-lowongan-kerja,,"Menteri Keuangan Purbaya Yudhi Sadewa mengungkapkan program Makan Bergizi Gratis di Jateng telah menjangkau 9,16 juta penerima manfaat hingga 2026.",DRAFT_REVIEW_NEEDS_EVIDENCE
2026,AIH-5216507DA466E7B9,,,,,,,,,,Pemda DIY Targetkan Kawasan Malioboro Full Pedestrian Pada November,APBN/APBD_NEEDS_MAPPING,,AI_HUNTER_RSS,https://www.cnnindonesia.com/nasional/20260705173651-20-1377143/pemda-diy-targetkan-kawasan-malioboro-full-pedestrian-pada-november,,Pemda DIY menargetkan kawasan Malioboro berkonsep full pedestrian di November 2026. Portal-portal pada ruas jalan mulai dipasang.,DRAFT_REVIEW_NEEDS_EVIDENCE
2026,AIH-4E4AA40E665D704F,,,,,,,,,,Lautan Manusia! Ribuan Pengunjung Padat Sesak di Jakarta Fair PRJ 2026,APBN/APBD_NEEDS_MAPPING,,AI_HUNTER_RSS,https://www.cnbcindonesia.com/news/20260704185709-7-748062/lautan-manusia-ribuan-pengunjung-padat-sesak-di-jakarta-fair-prj-2026,Rp 2.026.000.000.000.000,Pramono menargetkan Jakarta Fair 2026 mampu menarik lebih dari 6 juta pengunjung dengan nilai transaksi melampaui Rp8 triliun.,DRAFT_REVIEW_NEEDS_EVIDENCE
2026,AIH-2B2EDF1ED48F34E3,,,,,,,,,,"Akhir Pekan Tiba, Waktunya Belanja Murah di Transmart Full Day Sale!",APBN/APBD_NEEDS_MAPPING,,AI_HUNTER_RSS,https://www.cnbcindonesia.com/news/20260704141229-4-748035/akhir-pekan-tiba-waktunya-belanja-murah-di-transmart-full-day-sale,,Manfaatkan Transmart Full Day Sale pada 5 Juli 2026 dengan diskon hingga 50% + 20% untuk kebutuhan sehari-hari dan elektronik. Promo berlaku hingga pukul 22.00!,DRAFT_REVIEW_NEEDS_EVIDENCE
2026,AIH-2F22B6737D13BA96,,,,,,,,,,"Bayar Pajak Kendaraan di PRJ 2026, Bebas Denda dan Dapat Suvenir",APBN/APBD_NEEDS_MAPPING,,AI_HUNTER_RSS,https://www.cnbcindonesia.com/news/20260704140237-4-748034/bayar-pajak-kendaraan-di-prj-2026-bebas-denda-dapat-suvenir,,Pemprov DKI Jakarta hapus sanksi administrasi pajak kendaraan hingga 31 Agustus 2026. Bayar pajak di Gerai Samsat PRJ sambil menikmati pameran.,DRAFT_REVIEW_NEEDS_EVIDENCE
